steps,reward,error
20000,0.06,1.99
40000,1.86,0.48
60000,1.85,0.48
80000,1.86,0.48
100000,1.85,0.48
120000,1.86,0.48
140000,1.85,0.48
160000,1.86,0.48
180000,1.84,0.47
200000,1.86,0.48
220000,1.79,0.45
240000,1.88,0.49
260000,1.83,0.47
280000,1.84,0.47
300000,1.89,0.49
320000,1.77,0.44
340000,1.82,0.47
360000,1.81,0.46
380000,1.85,0.48
400000,0.40,1.92
420000,1.87,0.48
440000,1.88,0.49
460000,1.84,0.47
480000,1.89,0.49
500000,1.86,0.48
520000,1.91,0.49
540000,1.83,0.47
560000,1.87,0.48
580000,1.85,0.48
600000,1.81,0.46
620000,1.86,0.48
640000,1.81,0.46
660000,1.88,0.49
680000,1.76,0.44
700000,1.79,0.45
720000,1.85,0.48
740000,1.87,0.48
760000,1.77,0.44
780000,1.86,0.48
800000,1.87,0.48
820000,1.79,0.45
840000,1.93,0.50
860000,1.82,0.47
880000,1.84,0.47
900000,1.75,0.43
920000,1.84,0.47
940000,1.88,0.49
960000,1.94,0.50
980000,1.84,0.47
1000000,1.74,0.43
1020000,1.88,0.49
1040000,1.84,0.47
1060000,1.83,0.47
1080000,1.80,0.46
1100000,1.79,0.45
1120000,1.82,0.47
1140000,1.85,0.48
1160000,1.81,0.46
1180000,1.85,0.48
1200000,1.84,0.47
1220000,1.87,0.48
1240000,1.85,0.48
1260000,1.80,0.46
1280000,1.86,0.48
1300000,1.78,0.45
1320000,1.86,0.48
1340000,1.83,0.47
1360000,1.83,0.47
1380000,1.77,0.44
1400000,1.80,0.46
1420000,1.89,0.49
1440000,1.89,0.49
1460000,1.79,0.45
1480000,1.74,0.43
1500000,1.88,0.49
1520000,1.86,0.48
1540000,1.79,0.45
1560000,1.89,0.49
1580000,1.85,0.48
1600000,1.76,0.44
1620000,1.77,0.44
1640000,1.85,0.48
1660000,1.85,0.48
1680000,1.80,0.46
1700000,1.82,0.47
1720000,1.80,0.46
1740000,1.86,0.48
1760000,1.87,0.48
1780000,1.82,0.47
1800000,1.78,0.45
1820000,1.86,0.48
1840000,1.82,0.47
1860000,1.76,0.44
1880000,1.77,0.44
1900000,1.80,0.46
1920000,1.85,0.48
1940000,1.92,0.49
1960000,1.87,0.48
1980000,1.85,0.48
2000000,1.84,0.47
2020000,1.82,0.47
2040000,1.97,0.50
2060000,1.89,0.49
2080000,1.81,0.46
2100000,1.84,0.47
2120000,1.80,0.46
2140000,1.85,0.48
2160000,1.83,0.47
2180000,1.82,0.47
2200000,1.76,0.44
2220000,1.85,0.48
2240000,1.87,0.48
2260000,1.86,0.48
2280000,1.83,0.47
2300000,1.85,0.48
2320000,1.85,0.48
2340000,1.85,0.48
2360000,1.75,0.43
2380000,1.78,0.45
2400000,1.75,0.43
2420000,1.82,0.47
2440000,1.87,0.48
2460000,1.84,0.47
2480000,1.86,0.48
2500000,1.85,0.48
2520000,1.86,0.48
2540000,1.80,0.46
2560000,1.77,0.44
2580000,1.82,0.47
2600000,1.88,0.49
2620000,1.85,0.48
2640000,1.86,0.48
2660000,1.78,0.45
2680000,1.89,0.49
2700000,1.85,0.48
2720000,1.87,0.48
2740000,1.79,0.45
2760000,1.87,0.48
2780000,1.91,0.49
2800000,1.82,0.47
2820000,1.87,0.48
2840000,1.85,0.48
2860000,1.84,0.47
2880000,1.91,0.49
2900000,1.86,0.48
2920000,1.81,0.46
2940000,1.82,0.47
2960000,1.81,0.46
2980000,1.87,0.48
3000000,1.79,0.45
