steps,reward,error
20000,-1.50,0.00
40000,-1.50,0.00
60000,-1.50,0.00
80000,-1.50,0.00
100000,-1.50,0.00
120000,-1.50,0.00
140000,-1.50,0.00
160000,-1.50,0.00
180000,-1.50,0.00
200000,-1.50,0.00
220000,-1.50,0.00
240000,-1.50,0.00
260000,-1.50,0.00
280000,-1.50,0.00
300000,-1.50,0.00
320000,-1.50,0.00
340000,-1.50,0.00
360000,-1.50,0.00
380000,-1.50,0.00
400000,-1.50,0.00
420000,-1.50,0.00
440000,-1.50,0.00
460000,-1.50,0.00
480000,-1.50,0.00
500000,-1.50,0.00
520000,-1.50,0.00
540000,-1.50,0.00
560000,-1.50,0.00
580000,-0.82,1.88
600000,-0.74,1.85
620000,-0.78,1.87
640000,-0.78,1.87
660000,0.50,0.00
680000,0.50,0.00
700000,0.50,0.00
720000,-0.54,1.75
740000,-1.02,1.94
760000,-0.82,1.88
780000,-0.58,1.78
800000,-0.66,1.82
820000,0.50,0.00
840000,-1.22,1.98
860000,-0.86,1.89
880000,0.50,0.00
900000,0.50,0.00
920000,0.50,0.00
940000,0.50,0.00
960000,-0.86,1.89
980000,-0.94,1.92
1000000,-0.90,1.91
1020000,0.50,0.00
1040000,0.50,0.00
1060000,0.50,0.00
1080000,-1.30,1.99
1100000,0.50,0.00
1120000,0.50,0.00
1140000,0.50,0.00
1160000,-0.98,1.93
1180000,-1.02,1.94
1200000,0.50,0.00
1220000,0.50,0.00
1240000,-0.70,1.83
1260000,-0.86,1.89
1280000,0.50,0.00
1300000,-0.74,1.85
1320000,-0.82,1.88
1340000,0.50,0.00
1360000,0.50,0.00
1380000,0.50,0.00
1400000,-1.14,1.97
1420000,-0.94,1.92
1440000,0.50,0.00
1460000,-1.18,1.97
1480000,-0.62,1.80
1500000,-0.58,1.78
1520000,-0.74,1.85
1540000,-0.94,1.92
1560000,0.50,0.00
1580000,0.50,0.00
1600000,-0.94,1.92
1620000,0.50,0.00
1640000,0.50,0.00
1660000,0.50,0.00
1680000,0.50,0.00
1700000,-0.78,1.87
1720000,0.50,0.00
1740000,-0.90,1.91
1760000,0.50,0.00
1780000,-1.02,1.94
1800000,0.50,0.00
1820000,0.50,0.00
1840000,0.50,0.00
1860000,-0.98,1.93
1880000,-1.14,1.97
1900000,0.50,0.00
1920000,0.50,0.00
1940000,-1.06,1.95
1960000,0.50,0.00
1980000,0.50,0.00
2000000,0.50,0.00
2020000,0.50,0.00
2040000,0.50,0.00
2060000,0.50,0.00
2080000,0.50,0.00
2100000,0.50,0.00
2120000,-0.46,1.71
2140000,0.50,0.00
2160000,0.50,0.00
2180000,0.50,0.00
2200000,-0.70,1.83
2220000,-1.06,1.95
2240000,-0.94,1.92
2260000,-0.98,1.93
2280000,-0.86,1.89
2300000,-0.70,1.83
2320000,0.50,0.00
2340000,0.50,0.00
2360000,0.50,0.00
2380000,-1.30,1.99
2400000,0.50,0.00
2420000,0.50,0.00
2440000,0.50,0.00
2460000,-0.74,1.85
2480000,-0.70,1.83
2500000,0.50,0.00
2520000,-0.78,1.87
2540000,0.50,0.00
2560000,-0.66,1.82
2580000,-1.06,1.95
2600000,0.50,0.00
2620000,0.50,0.00
2640000,0.50,0.00
2660000,-0.70,1.83
2680000,0.50,0.00
2700000,0.50,0.00
2720000,0.50,0.00
2740000,-0.74,1.85
2760000,-0.54,1.75
2780000,-0.66,1.82
2800000,0.50,0.00
2820000,0.50,0.00
2840000,0.50,0.00
2860000,0.50,0.00
2880000,0.50,0.00
2900000,-0.82,1.88
2920000,-1.02,1.94
2940000,0.50,0.00
2960000,-0.78,1.87
2980000,0.50,0.00
3000000,-0.78,1.87
