steps,reward,error
20000,0.16,1.98
40000,0.12,1.86
60000,-0.06,1.00
80000,0.04,2.05
100000,-0.04,1.95
120000,-0.24,1.98
140000,0.16,1.88
160000,0.02,1.84
180000,0.00,1.97
200000,0.02,2.09
220000,0.16,1.92
240000,-0.30,1.75
260000,0.18,1.88
280000,-0.08,1.89
300000,0.10,1.73
320000,-0.06,1.84
340000,0.16,1.84
360000,-0.20,2.00
380000,0.12,2.07
400000,-0.08,1.89
420000,0.00,1.00
440000,-0.08,1.00
460000,-0.04,1.95
480000,0.04,1.89
500000,0.00,1.84
520000,0.08,1.84
540000,0.30,1.77
560000,-0.06,1.93
580000,0.32,1.92
600000,0.06,1.00
620000,-0.04,1.00
640000,-0.12,0.99
660000,0.02,1.00
680000,-0.04,1.00
700000,0.16,1.88
720000,-0.08,1.80
740000,0.02,2.09
760000,-0.24,1.81
780000,-0.06,1.78
800000,0.06,1.99
820000,-0.18,2.02
840000,0.12,1.84
860000,-0.10,1.82
880000,0.16,1.96
900000,0.00,1.80
920000,-0.22,1.92
940000,-0.24,1.85
960000,0.14,1.92
980000,-0.52,1.88
1000000,-0.12,1.86
1020000,-0.14,1.90
1040000,0.10,0.99
1060000,-0.02,1.00
1080000,-0.24,1.85
1100000,-0.04,2.11
1120000,0.10,1.86
1140000,0.18,1.86
1160000,-0.04,1.91
1180000,0.00,2.01
1200000,0.00,1.73
1220000,0.20,1.92
1240000,-0.26,1.93
1260000,0.28,1.84
1280000,-0.14,0.99
1300000,-0.14,1.84
1320000,-0.22,1.92
1340000,0.00,1.95
1360000,-0.40,1.82
1380000,0.60,1.79
1400000,-0.06,1.93
1420000,-0.18,1.81
1440000,-0.48,1.80
1460000,-0.18,1.88
1480000,-0.24,1.78
1500000,0.32,1.84
1520000,-0.08,1.93
1540000,-0.30,1.86
1560000,0.14,1.79
1580000,-0.28,1.89
1600000,-0.08,1.93
1620000,-0.14,1.99
1640000,0.06,1.71
1660000,-0.18,1.88
1680000,0.18,1.92
1700000,-0.16,1.90
1720000,0.04,1.82
1740000,-0.12,1.88
1760000,0.08,1.95
1780000,0.18,1.81
1800000,0.40,1.91
1820000,-0.24,2.00
1840000,0.50,1.75
1860000,0.02,1.75
1880000,0.06,2.09
1900000,-0.02,1.84
1920000,0.02,1.80
1940000,-0.18,1.98
1960000,-0.38,1.99
1980000,0.16,2.04
2000000,0.06,1.91
2020000,-0.36,1.81
2040000,-0.06,1.73
2060000,-0.12,0.99
2080000,0.06,1.00
2100000,0.22,0.98
2120000,-0.06,2.01
2140000,0.08,1.82
2160000,-0.10,2.03
2180000,0.02,1.66
2200000,0.02,1.89
2220000,0.06,1.00
2240000,-0.06,1.00
2260000,0.08,1.91
2280000,0.28,1.82
2300000,0.24,1.87
2320000,0.06,2.05
2340000,0.44,1.88
2360000,0.06,1.75
2380000,-0.06,1.73
2400000,-0.18,0.98
2420000,0.00,1.00
2440000,0.04,1.97
2460000,0.10,1.77
2480000,-0.02,1.00
2500000,-0.08,1.00
2520000,0.20,1.83
2540000,-0.30,1.86
2560000,-0.06,1.97
2580000,0.04,1.78
2600000,0.06,2.05
2620000,0.02,1.00
2640000,-0.36,1.85
2660000,0.06,2.09
2680000,-0.04,1.75
2700000,0.24,2.17
2720000,-0.02,1.00
2740000,0.08,1.00
2760000,0.02,1.00
2780000,-0.06,1.00
2800000,-0.06,1.00
2820000,0.08,1.00
2840000,-0.06,1.00
2860000,0.08,1.86
2880000,0.14,1.99
2900000,0.08,2.07
2920000,0.22,1.81
2940000,0.08,1.84
2960000,-0.14,0.99
2980000,-0.08,1.99
3000000,0.14,0.99
